array_index,u_k_lambda,v_k_lambda
0,-0.071584,-0.001807
0,-0.071583,-0.001848
0,-0.071581,-0.001890
0,-0.071580,-0.001931
0,-0.071579,-0.001972
0,-0.071577,-0.002013
0,-0.071576,-0.002055
0,-0.071575,-0.002096
0,-0.071573,-0.002137
0,-0.071572,-0.002178
0,-0.071570,-0.002219
0,-0.071569,-0.002261
0,-0.071567,-0.002302
0,-0.071565,-0.002343
0,-0.078485,0.014899
0,-0.078494,0.014854
0,-0.078502,0.014808
0,-0.078511,0.014763
0,-0.078520,0.014718
0,-0.078529,0.014673
0,-0.078537,0.014628
0,-0.078546,0.014582
0,-0.078555,0.014537
0,-0.078563,0.014492
0,-0.078572,0.014447
0,-0.078580,0.014401
0,-0.078589,0.014356
0,-0.078597,0.014311
0,-0.078606,0.014266
0,-0.078614,0.014220
0,-0.078622,0.014175
0,-0.078630,0.014130
0,-0.078639,0.014085
0,-0.078647,0.014039
0,-0.078655,0.013994
0,-0.078663,0.013949
0,-0.078671,0.013903
0,-0.078679,0.013858
0,-0.078687,0.013813
0,-0.078695,0.013768
0,-0.078703,0.013722
0,-0.078711,0.013677
0,-0.078718,0.013632
0,-0.078726,0.013586
0,-0.078734,0.013541
0,-0.078742,0.013496
0,-0.078749,0.013450
0,-0.078757,0.013405
0,-0.078764,0.013360
0,-0.078772,0.013314
0,-0.078779,0.013269
0,-0.078787,0.013224
0,-0.078794,0.013178
0,-0.078801,0.013133
0,-0.078809,0.013087
0,-0.078816,0.013042
0,-0.078823,0.012997
0,-0.078830,0.012951
0,-0.011820,0.057662
0,-0.011854,0.057656
0,-0.011887,0.057649
0,-0.011920,0.057642
0,-0.011954,0.057635
0,-0.011987,0.057628
0,-0.012020,0.057621
0,-0.012053,0.057614
0,-0.012087,0.057607
0,-0.012120,0.057600
0,-0.012153,0.057593
0,-0.012187,0.057586
0,-0.012220,0.057579
0,-0.012253,0.057572
0,-0.012286,0.057565
0,-0.012319,0.057558
0,-0.012353,0.057551
0,-0.012386,0.057544
0,-0.012419,0.057537
0,-0.012452,0.057530
0,-0.012486,0.057522
0,-0.012519,0.057515
0,-0.012552,0.057508
0,-0.012585,0.057501
0,-0.012618,0.057493
0,-0.012651,0.057486
0,-0.012685,0.057479
0,-0.012718,0.057472
0,-0.012751,0.057464
0,-0.012784,0.057457
0,-0.012817,0.057450
0,-0.012850,0.057442
0,-0.012883,0.057435
0,-0.012916,0.057427
0,-0.012950,0.057420
0,-0.012983,0.057412
0,-0.013016,0.057405
0,-0.013049,0.057397
0,-0.013082,0.057390
0,-0.013115,0.057382
0,-0.013148,0.057375
0,-0.013181,0.057367
0,-0.013214,0.057360
0,-0.013247,0.057352
